q4733,3,185,4,198,4,160,0,0,126,1,20,126,0
q4765,3,172,4,186,4,135,0,0,126,1,15,126,0
q4797,3,164,4,177,4,126,0,0,126,1,16,126,0
q480,4,79599,4,100827,4,118,0,0,454865,1,79417,454865,0
q4829,3,174,4,186,4,137,0,0,126,1,16,126,0
q4861,3,163,4,179,4,129,0,0,126,1,15,126,0
q4893,3,180,4,193,4,139,0,0,126,1,19,126,0
q4925,3,200,4,218,4,159,0,0,126,1,19,126,0
q4945,3,217,4,218,4,172,0,0,9,1,11,9,0
q4977,10,309,10,317,10,498,0,0,45,1,120,45,0
q5009,7,293,9,295,9,264,35,0,19,1,39,19,0
q5041,8,271,8,277,8,311,0,0,49,1,52,49,0
q5073,10,571,11,575,11,740,0,0,27,1,342,27,0
q5105,2,146,3,148,3,97,0,0,24,1,9,24,0
q512,4,25819,4,33040,4,127,0,0,159186,1,25639,159186,0
q5137,6,192,7,193,7,263,0,0,7,1,19,7,0
q5169,4,180,8,181,8,150,25,0,1,0,0,0,0
q5201,6,205,7,206,7,270,0,0,15,1,23,15,0
q5233,7,295,10,323,10,285,32,0,136,1,60,136,0
q5265,7,242,8,246,8,339,0,0,24,1,55,24,0
q5297,4,173,5,183,5,163,0,0,94,1,16,94,0
q5329,4,216,5,217,5,163,0,0,3,1,53,3,0
q5361,7,255,10,261,10,298,24,0,32,1,39,32,0
q5393,9,273,10,283,10,542,0,0,47,1,64,47,0
q540,3,939,4,1670,4,127,0,0,15373,1,779,15373,0
q5425,5,189,6,190,6,250,0,0,3,1,14,3,0
q5457,2,136,3,140,3,83,0,0,30,1,7,30,0
q5489,5,190,6,193,6,241,0,0,22,1,18,22,0
q5521,5,201,6,202,6,272,0,0,1,1,16,1,0
q5553,3,158,4,160,4,116,0,0,21,1,12,21,0
q5585,10,448,11,449,11,572,0,0,12,1,248,12,0
q5617,4,202,5,203,5,163,0,0,3,1,46,3,0
q5649,4,202,5,203,5,179,0,0,1,1,42,1,0
q5681,6,196,7,198,7,281,0,0,11,1,19,11,0
q5713,4,195,5,196,5,154,0,0,3,1,45,3,0
